,topicsAll,topic0,topic1,topic2,topic3,topic4,topic5,model0,method0,method1,method2,method3,method4,method5,method6,method7,id,model1,method8,method9,method10,topic6,topic7,model2,model3,method11,method12,method13,method14,method15,method16,method17,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,method18
0,"Clinical neuroscience, Cognitive neuroscience","Behavioral neuroscience; Neuroethology, Psychology, Mental Health","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Brain stimulation; Neural prosthetics (Neuroprosthetics); Neurological disorders (Brain dynamics, Consciousness, Unconsciousness, Brain damage, Functional magnetic resonance imaging (fMRI), Coordinated brain activity, Anesthesia, Neuroimaging, Cognitive-motor dissociation)","Cognitive neuroscience; Consciousness, Neuroeconomics (Neuroeconomists; Neuromarketing), Cognition","Developmental neuroscience; Brain development; Cognitive development (Learning, Learning disabilities)",Molecular neuroscience; Genertics; Autopahgy,In vivo (Animal model; Transgenic); Human participants,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Functional Magnetic Resonance Imaging (fMRI),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,139,In humans; Human,,,,Neurophysiology; Brain; Neural mechanisms; Brain; Brain; Sleep; Injury; Neural mechanisms; Neural mechanisms; Sleep,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Environmental",air pollution,"Cognitive neuroscience; Cognition, Neuroeconomics (Neuromarketing), Memory",,,,,In vivo (Animal model; Transgenic); This scientific study did not use any specific experimental model. It is an observational study that analyzed data from human participants.,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Cognitive neuroscience","Cognitive neuroscience; Cognition, Neuroeconomics, Memory","Clinical neuroscience; Neurological disorders (Anorexia Nervosa, Cognitive deficits)",,,,,"In humans; Female, Adult",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Brain stimulation; Neurological disorders (Astrocyte reactivity, Neurovascular dysfunction)",Molecular neuroscience; Apoptosis; Autopahgy; Autopahgy; Genertics,"Nervous System Tumour (Tumor; cancer) (Metastasis, Glioblastoma)",,,In vivo (Animal model; Transgenic); Rat models of brain metastasis and ciliary neurotrophic factor (CNTF) were used to induce astrocyte reactivity.,Immunohistochemistry,Immunofluorescence,Stereotactics,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunohistochemistry, Magnetic resonance imaging (MRI), Laser Speckle Contrast Imaging (LSCI), Local Field Potentials (LFPs), Immunofluorescence, Statistical analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunohistochemistry and immunofluorescence, Magnetic resonance imaging (MRI), Laser Speckle Contrast Imaging (LSCI), Local Field Potentials (LFPs)","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunohistochemistry and immunofluorescence, Magnetic resonance imaging (MRI), Laser Speckle Contrast Imaging (LSCI), Local Field Potentials (LFPs)",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Clinical neuroscience; Neurological disorders (Lesch-Nyhan disease, purines, folic acid)",Molecular neuroscience; Metabolism; Genertics,,,,, In vitro (Culture),Cell culture,Molecular biology (PCR), Bioinformatics,Immunohistochemistry,Molecular biology (Western Blott),Behavioral tests (behavioral analysis; cognitive tests),,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Developmental neuroscience","Cognitive neuroscience; Cognition, Memory",,,,,,In humans; Children,Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Developmental neuroscience, Stem cells, Neurodegenerative diseases","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Developmental neuroscience; steam cells; Axon growth; Brain development; Cognitive development (Learning, Learning disabilities); motor development; Neurogenesis","Clinical neuroscience; Neural prosthetics (Neuroprosthetics); Neurological disorders (Oligodendrocytes, Multiple sclerosis, Amyotrophic lateral sclerosis)",,,, In vitro (Culture),Cell culture,Molecular biology (PCR),"Gene expression; Transcriptomics, Proteomics, Microarrays",Gene Edition,Immunohistochemistry,Immunofluorescence,In situ hybridization,Behavioral tests (behavioral analysis; cognitive tests),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Mental Health","Behavioral neuroscience; Neuroethology, Mental Health","Clinical neuroscience; Neurological disorders (Joint hypermobility, Anxiety)",,,,,In vivo (Animal model; Transgenic); Domestic dog (Canis familiaris),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Cognitive neuroscience","Cognitive neuroscience; Cognition, Neuroeconomics (Neuroeconomists; Neuromarketing), Consciousness",Cellular neuroscience; Neurons,,,,,In vivo (Animal model; Transgenic); Non-human primates,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Behavioral neuroscience, Psychology, Neurophysiology","Cognitive neuroscience; Cognition, Consciousness","Developmental neuroscience; Brain development; Cognitive development (Learning, Communication)",,,,,In vivo (Animal model; Transgenic); Human participants,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,138,"In humans; Adult, Male, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",Molecular neuroscience; Genertics; Proteins,"Nervous System Tumour (Tumor; cancer) (Glioblastoma, Telomere)",,,, In vitro (Culture),Immunofluorescence,Molecular biology (Western Blott),Cell culture, Bioinformatics,Behavioral tests (behavioral analysis; cognitive tests),Xenografts,,,106,"In vivo (Animal model; Transgenic); Mouse (mice), patient-derived glioblastoma xenograft models, patient-derived glioblastoma stem cells (GSCs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Psychology, Neuroethology, Affective neuroscience, Physiological psychology, Psycholinguistics, Psychophysics, Psychophysiology, Emotional Psychology
2. Cellular neuroscience, Glia, Astrocytes, Microglia, Oligodendrocytes, Radial glial cells, Schwann cells, Neurons, Cortical neurons, Dopaminergic neurons, GABAergic neurons, Glutamatergic neurons, Granule cells, Hippocampal neurons, Interneurons, Mirror neurons, Motor neurons, Neuronal synapses, Purkinje cells, Pyramidal neurons, Sensory neurons, Serotonergic neurons, Neurovascular
3. Clinical neuroscience, Neurology, Brain stimulation, Neural prosthetics, Neurological disorders, Rare disease, Amnesia, Amyotrophic lateral sclerosis, Aneurysms, Basal ganglia disease, Brain ischemia, Cerebral palsy, Coma, Demyelinating diseases, Dopamine deficiency, Epilepsy, Hydrocephalus, Neurodegenerative diseases, Dementia, Mild Cognitive Impairment, Alzheimer disease, Ataxia, Huntington's disease, Leukodystrophy, Parkinson's disease, Transmissible spongiform encephalopathy, Creutzfeldt Jakob disease, Neuromuscular diseases, Multiple sclerosis, Muscular dystrophy, Paralysis, Polio, Rett syndrome, Tics, Tourette syndrome, Vegetative states, Wallerian degeneration
4. Cognitive neuroscience, Cognition, Consciousness, Neuroeconomics, Reaction time, Memory, Cognitive reserve
5. Developmental neuroscience, Axon growth, Brain development, Cognitive development, Autism, Intellectual disability, Learning, Learning disabilities, Motor development, Stem cells, Neurogenesis
7. Molecular neuroscience, Metabolism, Proteins, Receptor, Enzyme, Antibody, Antigen, Genetics, DNA, RNA, Epigenetics, Autophagy, Apoptosis
8. Neurophysiology, Brain, Cerebellum, Spinal chord, Peripheral nervous system, Injury, Motor control, Myelination, Neural mechanisms, Neural pathways, Neuromuscular junctions, Neuroplasticity, Hormone, Neurotransmission, Sensory systems, Sleep
11. Treatment, Stem cells, Rehabilitation, Anaesthesia, Pharmacology, Transplantation, Neurosurgery
12. Diagnose, Marker, Symptom","Behavioral neuroscience; Neuroethology, Psychology, Mental Health","Clinical neuroscience; Neurological disorders (Dopamine deficiency, Depression, Mood disorders)",Molecular neuroscience; Proteins; Genertics,,,,In vivo (Animal model; Transgenic); Rat,Stereotactics,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Stereotactics,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Positron Emission Tomography (PET), Saccharin self-administration, Sucrose preference test (SPT), Novelty suppressed feeding (NSF), Female urine sniffing test (FUST), RNA isolation and quantitative real-time polymerase chain reaction (RT-PCR) analysis, Tyrosine hydroxylase (TH) immunohistochemistry, Double immunofluorescence",Molecular biology (PCR),112,,Immunohistochemistry,Immunofluorescence,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Neurons, Glia",Molecular neuroscience; Genertics; Genertics; Genertics,Neurophysiology; Neural mechanisms; Neurotransmission; Hormone; Neural mechanisms; Neuroplasticity,,,, In vitro (Culture),Cell culture,Molecular biology (Western Blott),Immunohistochemistry,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Behavioral tests (behavioral analysis; cognitive tests),,,,13,In vivo (Animal model; Transgenic); Mouse (mice),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Brain stimulation; Neural prosthetics (Neuroprosthetics); Neurological disorders (Basal ganglia disease, Huntington's disease, Neurodegenerative diseases)",Molecular neuroscience; Genertics; Apoptosis,,,,In vivo (Animal model; Transgenic); Mouse (mice),Optogenetics,Molecular biology (PCR),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Optogenetic stimulation, In vivo microdialysis, Multi-electrode array (MEA) recordings",Histology,Behavioral tests (behavioral analysis; cognitive tests),,,,12, In vitro (Culture),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Cognitive neuroscience",Neurophysiology; Brain; Motor control; Neural mechanisms; Neural mechanisms; Neuroplasticity,artificial intelligence,,,,,In vivo (Animal model; Transgenic); Rhesus monkeys,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, Two-photon Microscopy","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, Two-photon Microscopy",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, Two-photon Microscopy, Magnetic resonance imaging (MRI), X-Ray, Positron Emission (PET), Single Photon Emission Tomographic bioimaging, Magnetoenchephalography, Multiphoton Brain Imaging, 3D visualization, Brain activity maps (Human brain mapping; Mapping brain activity), Calcium imaging, Connectomics (Connectomes)",,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience",model,Molecular neuroscience; Metabolism; Genertics,,,,,In vivo (Animal model; Transgenic); Mouse (mice),Immunohistochemistry,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Clinical neuroscience, Molecular neuroscience","Clinical neuroscience; Neurological disorders (Alcohol use disorder, White matter alterations, Diffusion tensor imaging (DTI), Microstructural properties, Corpus callosum, Fornix/fimbria, Demyelination, Glial reaction)","Cellular neuroscience; Glia, Neurons","Developmental neuroscience; Brain development; Cognitive development (Alcohol Use Disorder, Diffusion Tensor Imaging, White Matter Alterations)",,,,In vivo (Animal model; Transgenic); Rat,Cell culture,Stereotactics,Molecular biology (Western Blott),Molecular biology (PCR), Bioinformatics,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Human Study, Animal Study",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunohistochemistry,122,In humans; Rats,Gene expression; Microarrays,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Neurological disorders (Alzheimer disease, BDNF, Neurodegenerative diseases)",Molecular neuroscience; Proteins; Genertics,,,, In vitro (Culture),Histology,Cell culture,Molecular biology (PCR),Immunohistochemistry,Molecular biology (Western Blott),Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Stereotactics,136,In vivo (Animal model; Transgenic); Mouse (mice),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,In situ hybridization,,,,,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Neurological disorders (Leukodystrophy, Neurodegenerative diseases, Demyelinating diseases)",Molecular neuroscience; Genertics,,,,In vivo (Animal model; Transgenic); Mouse (mice),Histology,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunofluorescence, Electron microscopy",Immunofluorescence,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunofluorescence, Electron microscopy",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunofluorescence,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,23,,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Psycholinguistics, Bilingualism","Developmental neuroscience; Cognitive development (Learning, Language); Axon growth","Cognitive neuroscience; Cognition, Language",,,,,In vivo (Animal model; Transgenic); Human infants,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,,37,In humans; Infant (14-month-old),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Gender, Education",Diagnose,education,,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Mental Health, Clinical neuroscience","Clinical neuroscience; Neurological disorders (Dementia, Social isolation)",patient,"Neuroimmunity (Inflammation (Encephalitis), Neuroinflammation)",,,,In vivo (Animal model; Transgenic); Mouse (mice),Cell culture,Molecular biology (Western Blott),Behavioral tests (behavioral analysis; cognitive tests),,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Clinical neuroscience","Behavioral neuroscience; Neuroethology, Psychology, Mental Health","Clinical neuroscience; Neurological disorders (Neuropathic pain, Emotional alterations, Cognitive deficits, Personality traits)","Cognitive neuroscience; Cognition, Consciousness, Memory",,,,In vivo (Animal model; Transgenic); Mouse (mice),Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Behavioral tests, Electrophysiological procedures, Neuropathic pain induction and assessment, Tissue collection and RNA isolation, Quantitative real-time PCR analysis",Cell culture,Molecular biology (PCR),,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Neuroscience, Cognitive neuroscience","Cellular neuroscience; Neurons, Glia","Cognitive neuroscience; Cognition, Consciousness, Reaction time, Memory",,,,,In vivo (Animal model; Transgenic); Non-human primates (Monkeys),Stereotactics,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Behavioral tests (behavioral analysis; cognitive tests),,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Clinical neuroscience",model,Diagnose,Diagnose,Diagnose,model,patient,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,135,,,,,patient,model,,,,,,,,,,model,model,Diagnose,Diagnose,model,model,model,video game,microbiota,model,model,Diagnose,environment,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Neural prosthetics (Neuroprosthetics); Neurological disorders (Parkinsons disease (Parkinson's disease), Neurodegenerative diseases (Neurodegeneration; Neurodegenerative disorders), Vitamin B12)",Molecular neuroscience; Proteins; Genertics,"Treatment (Therapy) (Pharmacology, Neurosurgery)",,, In vitro (Culture),Behavioral tests (behavioral analysis; cognitive tests),Molecular biology (Western Blott),Molecular biology (PCR),Cell culture,,,,,121,"In vivo (Animal model; Transgenic); C. elegans, Drosophila, Mouse (mice)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Neurology, Neurodegenerative diseases, Alzheimer's disease, Prion diseases, Biomarkers","Clinical neuroscience; Neurological disorders (Creutzfeldt Jakob disease (Creutzfeldt-Jakob disease), Alzheimer disease (Alzheimer's disease; Alzheimers disease), Neurodegenerative diseases (Neurodegeneration; Neurodegenerative disorders))",Molecular neuroscience; Proteins; Genertics,,,,, In vitro (Culture),Immunohistochemistry,Molecular biology (Western Blott),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunohistochemistry,Molecular biology (Western Blott),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunohistochemistry,Molecular biology (Western Blott),109,In vivo (Animal model; Transgenic); Human (patients with sporadic Creutzfeldt-Jakob disease and Alzheimer's disease),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Mental Health","Clinical neuroscience; Neurological disorders (Blue spaces, Mental health, Physical health)",environment,sport,,,,In vivo (Animal model; Transgenic); This scientific study did not involve the use of any experimental models. It was a human study involving healthy adult office workers.,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,34,In humans; Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Brain stimulation; Neural prosthetics (Neuroprosthetics); Neurological disorders (Brain tumour, Medulloblastoma, Cerebrospinal fluid, Liquid biopsies, Circulating tumour DNA (ctDNA), Genomic alterations, Tumour heterogeneity, Risk stratification, Diagnosis, Prognosis, Monitoring)",Molecular neuroscience; Genertics; Autopahgy,"Nervous System Tumour (Tumor; cancer) (Medulloblastoma, Circulating tumour DNA, Cerebrospinal fluid, Pediatric Cancer)","Treatment (Therapy) (Neurosurgery, Transplantation)",Diagnose,In vivo (Animal model; Transgenic); Human (pediatric patients with medulloblastoma),Molecular biology (PCR),Molecular biology (Western Blott),Cell culture,Histology, Bioinformatics,"Gene expression; Transcriptomics, Proteomics, Metabolomics, Microarrays",Gene Edition,,20,In humans; Human (Pediatric patients with medulloblastoma),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Neurology, Neurodegenerative diseases, Neuroimaging","Clinical neuroscience; Neurological disorders (Neurodegenerative diseases, Huntington's disease, MRI biomarkers)",Neuroimmunity (Neuroinflammation),,,,,In vivo (Animal model; Transgenic); Human (HD patients),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic resonance imaging (MRI), Freesurfer, SPM","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic resonance imaging (MRI), Freesurfer, SPM",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic resonance imaging (MRI), Freesurfer, SPM","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic resonance imaging (MRI), Freesurfer, SPM","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic resonance imaging (MRI), Freesurfer, SPM",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,21,In humans; Human (Adult),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Neuroscience, Cognitive neuroscience","Cognitive neuroscience; Cognition, Consciousness","Developmental neuroscience; Brain development; Cognitive development (Learning, Learning disabilities)",Neurophysiology; Brain; Sleep,model,,,In vivo (Animal model; Transgenic); Human,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); fMRI, DTI, EEG",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Behavioral tests (behavioral analysis; cognitive tests),,,,,35,"In humans; fMRI data, DTI data",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Clinical neuroscience","Behavioral neuroscience; Neuroethology, Mental Health","Clinical neuroscience; Neurological disorders (Huntingtons disease, Depression, Cdk5 dysfunction)",Molecular neuroscience; Genertics; Proteins,,,,In vivo (Animal model; Transgenic); Mouse (mice),Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Molecular biology (Western Blott),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Confocal Microscopy, Western blotting, Dendritic spine dying and confocal analysis",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Mental Health",Clinical neuroscience; Neurological disorders (Cyberbullying),education,,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Clinical neuroscience","Clinical neuroscience; Neurological disorders (Obsessive-Compulsive Disorder, Cerebral Cortex)","Cognitive neuroscience; Cognition, Neuroeconomics (Neuroeconomists; Neuromarketing), Memory",Neurophysiology; Peripehral nervous system; Motor control; Neural mechanisms;  Cerebellum,,,,In vivo (Animal model; Transgenic); Human (OCD patients),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); MRI, IDAC, region-of-interest functional connectivity analysis",Molecular biology (PCR),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,134,In humans; Human (Adult),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Psychology, Hormone, Aggression","Behavioral neuroscience; Psychology, Mental Health","Clinical neuroscience; Neurological disorders (Empathy, Testosterone, Cortisol)","Developmental neuroscience; Cognitive development (Learning, Learning disabilities); motor development",,,,In humans; Children,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Cognitive neuroscience, Behavioral neuroscience, Psychology
2. Cellular neuroscience
3. Cognitive neuroscience, Behavioral neuroscience, Psychology
4. Cognitive neuroscience
5. Developmental neuroscience
8. Neurophysiology
13. Other Topics","Cognitive neuroscience; Cognition, Consciousness, Neuroeconomics (Neuromarketing), Reaction time, Memory","Developmental neuroscience; Brain development; Cognitive development (Learning, Attention deficit disorder, Attention deficit hyperactivity disorder (ADHD))",,,,,In humans; Human,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Molecular neuroscience, Neurophysiology
2. Cellular neuroscience
3. Clinical neuroscience
4. Cognitive neuroscience
5. Developmental neuroscience
6. Other Topics","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",Molecular neuroscience; Proteins; Genertics,,,,,None,Molecular biology (Western Blott),Molecular biology (PCR), Bioinformatics,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Neurology, Neurological disorders, Neurodegenerative diseases, Creutzfeldt Jakob disease, CSF biomarkers","Clinical neuroscience; Neurological disorders (Creutzfeldt Jakob disease (Creutzfeldt-Jakob disease), Transmissible spongiform encephalopathy (BSE; Bovine spongiform encephalopathy; Chronic wasting disease; Kuru; Mad cow disease; Prion diseases; Scrapie))",Molecular neuroscience; Genertics; Proteins,Diagnose,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia, Neurons",Molecular neuroscience; Metabolism; Proteins; Genertics,,,,, In vitro (Culture),Cell culture,Molecular biology (Western Blott),Stereotactics,Immunohistochemistry,Immunofluorescence,Gene expression; Microarrays,Behavioral tests (behavioral analysis; cognitive tests),,25,In vivo (Animal model; Transgenic); Mouse (mice),,,,,,,,,,,,,,,,,,,,,,,,,,,,
